Location,Site,Salinity,Turbid_Level1,Turbid_Level,Sal_Turb,Turbid_Level1,Turbidiy,Date,Bottle,Plate,Time_point,Time_day,Volume_mL,Raw_Count,Staph_CFU_100mL
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/15/22,2,3,t1,1,5,25,500
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/15/22,1,1,t1,1,5,23,460
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/15/22,2,5,t1,1,5,13,260
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/15/22,2,6,t1,1,5,20,400
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/15/22,3,1,t1,1,5,11,220
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/15/22,3,2,t1,1,5,7,140
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/15/22,3,3,t1,1,5,58,1160
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/15/22,3,4,t1,1,5,9,180
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/15/22,3,5,t1,1,5,7,140
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/15/22,3,6,t1,1,5,16,320
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/15/22,2,4,t1,1,5,82,1640
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,7/21/22,1,1,t10,37,1,19,1900
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,7/21/22,1,2,t10,37,1,15,1500
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,7/21/22,1,3,t10,37,1,18,1800
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,7/21/22,1,4,t10,37,1,21,2100
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,7/21/22,1,5,t10,37,1,13,1300
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,7/21/22,1,6,t10,37,1,37,3700
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,7/21/22,2,1,t10,37,1,7,700
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,7/21/22,2,2,t10,37,1,6,600
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,7/21/22,2,3,t10,37,1,7,700
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,7/21/22,2,4,t10,37,1,6,600
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,7/21/22,2,5,t10,37,1,5,500
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,7/21/22,2,6,t10,37,1,4,400
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,7/21/22,3,1,t10,37,1,21,2100
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,7/21/22,3,2,t10,37,1,25,2500
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,7/21/22,3,3,t10,37,1,18,1800
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,7/21/22,3,4,t10,37,1,15,1500
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,7/21/22,3,5,t10,37,1,25,2500
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,7/21/22,3,6,t10,37,1,30,3000
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,7/21/22,1,1,t10,37,5,0,0
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,7/21/22,1,2,t10,37,5,0,0
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,7/21/22,1,3,t10,37,5,0,0
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,7/21/22,1,4,t10,37,5,1,20
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,7/21/22,1,5,t10,37,5,0,0
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,7/21/22,1,6,t10,37,5,0,0
